date,mean_date_no,original_date_no,date_no,sample_id,fish_prey_stage,sample_mg_dm,sample_mg_dm01,site,fish_species,prey_stage
2019-06-06,31.691419141914192,3,-28.691419141914192,9,Notropis stramineus_a,0,0.01,little bridge,Notropis stramineus,a
2019-06-06,31.691419141914192,3,-28.691419141914192,9,Notropis stramineus_l,4.491058421600422,4.501058421600422,little bridge,Notropis stramineus,l
2019-06-06,31.691419141914192,3,-28.691419141914192,9,Notropis stramineus_p,0,0.01,little bridge,Notropis stramineus,p
2019-06-05,31.691419141914192,2,-29.691419141914192,10,Ameiurus melas_a,0,0.01,gunderson,Ameiurus melas,a
2019-06-05,31.691419141914192,2,-29.691419141914192,10,Ameiurus melas_l,17.964233686401688,17.97423368640169,gunderson,Ameiurus melas,l
2019-06-05,31.691419141914192,2,-29.691419141914192,10,Ameiurus melas_p,0,0.01,gunderson,Ameiurus melas,p
2019-06-07,31.691419141914192,4,-27.691419141914192,11,Etheostoma nigrum_a,0,0.01,spirit mound,Etheostoma nigrum,a
2019-06-07,31.691419141914192,4,-27.691419141914192,11,Etheostoma nigrum_l,222.62818175647806,222.63818175647805,spirit mound,Etheostoma nigrum,l
2019-06-07,31.691419141914192,4,-27.691419141914192,11,Etheostoma nigrum_p,0,0.01,spirit mound,Etheostoma nigrum,p
2019-06-06,31.691419141914192,3,-28.691419141914192,12,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-06,31.691419141914192,3,-28.691419141914192,12,Cyprinella spiloptera_l,0,0.01,burbank,Cyprinella spiloptera,l
2019-06-06,31.691419141914192,3,-28.691419141914192,12,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-06,31.691419141914192,3,-28.691419141914192,13,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-06,31.691419141914192,3,-28.691419141914192,13,Cyprinella spiloptera_l,0,0.01,burbank,Cyprinella spiloptera,l
2019-06-06,31.691419141914192,3,-28.691419141914192,13,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-06,31.691419141914192,3,-28.691419141914192,14,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-06,31.691419141914192,3,-28.691419141914192,14,Cyprinella spiloptera_l,0,0.01,burbank,Cyprinella spiloptera,l
