date,mean_date_no,original_date_no,date_no,sample_id,fish_prey_stage,sample_mg_dm,sample_mg_dm01,site,fish_species,prey_stage
2019-06-21,31.691419141914192,18,-13.691419141914192,70,Ameiurus melas_l,8.340537068686498,8.350537068686497,spirit mound,Ameiurus melas,l
2019-06-21,31.691419141914192,18,-13.691419141914192,70,Ameiurus melas_p,0,0.01,spirit mound,Ameiurus melas,p
2019-06-20,31.691419141914192,17,-14.691419141914192,71,Etheostoma nigrum_a,0,0.01,little bridge,Etheostoma nigrum,a
2019-06-20,31.691419141914192,17,-14.691419141914192,71,Etheostoma nigrum_l,62.87481790240591,62.884817902405906,little bridge,Etheostoma nigrum,l
2019-06-20,31.691419141914192,17,-14.691419141914192,71,Etheostoma nigrum_p,0,0.01,little bridge,Etheostoma nigrum,p
2019-06-21,31.691419141914192,18,-13.691419141914192,72,Lepomis macrochirus_a,0,0.01,gunderson,Lepomis macrochirus,a
2019-06-21,31.691419141914192,18,-13.691419141914192,72,Lepomis macrochirus_l,14.756334813829959,14.766334813829959,gunderson,Lepomis macrochirus,l
2019-06-21,31.691419141914192,18,-13.691419141914192,72,Lepomis macrochirus_p,0,0.01,gunderson,Lepomis macrochirus,p
2019-06-21,31.691419141914192,18,-13.691419141914192,73,Lepomis macrochirus_a,0,0.01,gunderson,Lepomis macrochirus,a
2019-06-21,31.691419141914192,18,-13.691419141914192,73,Lepomis macrochirus_l,0,0.01,gunderson,Lepomis macrochirus,l
2019-06-21,31.691419141914192,18,-13.691419141914192,73,Lepomis macrochirus_p,0,0.01,gunderson,Lepomis macrochirus,p
2019-06-20,31.691419141914192,17,-14.691419141914192,74,Semotilus atromaculatus_a,0,0.01,little bridge,Semotilus atromaculatus,a
2019-06-20,31.691419141914192,17,-14.691419141914192,74,Semotilus atromaculatus_l,3.849478647086076,3.8594786470860756,little bridge,Semotilus atromaculatus,l
